target_region,budget_retrains,budget_fraction,policy,mean_mae
EAS,3,0.1,distance,6.475948411045652
EAS,3,0.1,mean_shift,6.466894361683817
EAS,3,0.1,kl_source_target,6.474533637798194
EAS,3,0.1,oracle,6.459968849673416
EAS,3,0.1,random_expected,6.472728416312825
EAS,4,0.13333333333333333,action_value,6.463746035749263
EAS,4,0.13333333333333333,mmd,6.465986241210591
EAS,4,0.13333333333333333,wasserstein,6.467016575047465
EAS,4,0.13333333333333333,distance,6.4760011492353495
EAS,4,0.13333333333333333,mean_shift,6.467016575047465
EAS,4,0.13333333333333333,kl_source_target,6.474655851161842
EAS,4,0.13333333333333333,oracle,6.45593671466365
EAS,4,0.13333333333333333,random_expected,6.471466029783692
EAS,5,0.16666666666666666,action_value,6.46256826545253
EAS,5,0.16666666666666666,mmd,6.465444967457743
EAS,5,0.16666666666666666,wasserstein,6.467122575947733
EAS,5,0.16666666666666666,distance,6.475822510141315
EAS,5,0.16666666666666666,mean_shift,6.467122575947733
EAS,5,0.16666666666666666,kl_source_target,6.474761852062111
EAS,5,0.16666666666666666,oracle,6.452193288658605
EAS,5,0.16666666666666666,random_expected,6.4702036432545595
EAS,6,0.2,action_value,6.459925538554336
EAS,6,0.2,mmd,6.464912423581789
EAS,6,0.2,wasserstein,6.466630816459657
EAS,6,0.2,distance,6.4754566509073435
EAS,6,0.2,mean_shift,6.466630816459657
EAS,6,0.2,kl_source_target,6.4742700925740335
EAS,6,0.2,oracle,6.449550561760412
EAS,6,0.2,random_expected,6.468941256725428
EAS,7,0.23333333333333334,action_value,6.460047751917984
EAS,7,0.23333333333333334,mmd,6.464568863204033
EAS,7,0.23333333333333334,wasserstein,6.465520342191061
EAS,7,0.23333333333333334,distance,6.471424515897578
EAS,7,0.23333333333333334,mean_shift,6.465520342191061
