threshold_profile,deploy_threshold,adapt_threshold,model,source_region,target_region,degradation_mean,degradation_ci95_halfwidth,risk_score,decision
strict,0.005,0.02,linear_window,WCE,SAU,0.1031583139816307,0.3696566708602084,0.47281498484183915,retrain
strict,0.005,0.02,linear_window,WCE,WNA,-0.0199559728411034,0.2478953978381133,0.2279394249970099,retrain
strict,0.005,0.02,linear_window,WNA,CNA,0.0327573935291789,0.4310680695491203,0.4638254630782992,retrain
strict,0.005,0.02,linear_window,WNA,EAS,-0.0464475358466873,1.8644405379043203,1.817993002057633,retrain
strict,0.005,0.02,linear_window,WNA,EAU,0.0604078298709238,0.422316275240625,0.4827241051115488,retrain
strict,0.005,0.02,linear_window,WNA,ENA,0.1056825855889146,0.2158191114921155,0.3215016970810301,retrain
strict,0.005,0.02,linear_window,WNA,MED,-0.0434951889830029,0.1014431218180374,0.0579479328350345,retrain
strict,0.005,0.02,linear_window,WNA,NCA,0.1079107102887469,0.1820702811121091,0.289980991400856,retrain
strict,0.005,0.02,linear_window,WNA,NEU,0.0178466988067751,0.1343687991468587,0.15221549795363382,retrain
strict,0.005,0.02,linear_window,WNA,NWN,-0.0231635977448826,0.2116317316269465,0.1884681338820639,retrain
strict,0.005,0.02,linear_window,WNA,SAU,0.1004828552791225,0.8646723305458971,0.9651551858250196,retrain
strict,0.005,0.02,linear_window,WNA,WCE,-0.0231008523048493,0.0694578690558486,0.04635701675099929,retrain
strict,0.005,0.02,patchtst_small,CNA,EAS,0.2758059364295559,1.6946274128889516,1.9704333493185076,retrain
strict,0.005,0.02,patchtst_small,CNA,EAU,0.1306476013481548,1.1270382353605946,1.2576858367087493,retrain
strict,0.005,0.02,patchtst_small,CNA,ENA,-0.0108961662424074,0.9510918852270792,0.9401957189846718,retrain
strict,0.005,0.02,patchtst_small,CNA,MED,0.0314947438060448,0.2760745337347073,0.3075692775407521,retrain
strict,0.005,0.02,patchtst_small,CNA,NCA,0.0141795570980313,0.2047893360419882,0.2189688931400195,retrain
strict,0.005,0.02,patchtst_small,CNA,NEU,0.1435895852821162,0.1239771582354161,0.2675667435175323,retrain
