canonical_station_uid,source_region,target_region,cell5,mae_out_minus_in,risk_class,p_safe,p_moderate,p_high,predicted_risk_class,recommendation
eur_ecad_01::27257,NEU,MED,35_-10,0.3804496909503765,high,0.000491829063643335,0.00023519787060605367,0.9992729730657506,high,retrain
eur_ecad_01::26547,MED,WCE,45_15,-0.0418092131797864,safe,0.3794355348702336,0.48161930104027795,0.13894516408948865,moderate,adapt
eur_ecad_01::26547,NEU,WCE,45_15,0.117673408389451,moderate,0.06532233058107739,0.4127915583451909,0.5218861110737323,high,retrain
eur_ecad_01::26549,MED,WCE,45_15,-0.0269038369422536,safe,0.2894967745214591,0.5548220351846738,0.15568119029386712,moderate,adapt
eur_ecad_01::26549,NEU,WCE,45_15,0.1322338910591116,moderate,0.050245306094849604,0.43196561506866193,0.5177890788364887,high,retrain
eur_ecad_01::26550,MED,WCE,45_15,-0.0571341365911433,safe,0.38745480959982975,0.4676412153440412,0.14490397505612937,moderate,adapt
eur_ecad_01::26550,NEU,WCE,45_15,0.11868803787568,moderate,0.06356992506195049,0.43116291828355446,0.5052671566544954,high,retrain
eur_ecad_01::26551,MED,WCE,45_15,-0.0154621426227063,safe,0.2270950837536606,0.6265485309391698,0.14635638530716968,moderate,adapt
eur_ecad_01::26551,NEU,WCE,45_15,0.1305761899795956,moderate,0.047393008270433995,0.2306812693561587,0.7219257223734084,high,retrain
eur_ecad_01::21817,MED,NEU,55_-10,-0.0391385397780577,safe,0.9257421407635986,0.07425785923640209,0.0,safe,deploy
eur_ecad_01::21817,WCE,NEU,55_-10,0.0544722010963996,moderate,0.25059865857368085,0.7492054857332867,0.0001958556930325819,moderate,adapt
eur_ecad_01::21821,MED,NEU,50_-10,-0.0224009847040522,safe,0.9129848250962198,0.08485541758248859,0.0021597573212918295,safe,deploy
eur_ecad_01::21821,WCE,NEU,50_-10,0.0037386670310812,moderate,0.48436945195086745,0.5147902292777781,0.0008403187713545014,moderate,deploy
eur_ecad_01::27425,WCE,MED,35_-5,0.1670908928223897,high,0.00010454355018035023,0.10625347332365823,0.8936419831261619,high,retrain
eur_ecad_01::27425,NEU,MED,35_-5,0.3150407545983089,high,2.3984541488227886e-05,0.001707022603931759,0.9982689928545803,high,retrain
eur_ecad_01::27427,WCE,MED,35_-5,0.1669440281641518,high,0.000139939354530981,0.10822212731763754,0.8916379333278317,high,retrain
eur_ecad_01::27427,NEU,MED,35_-5,0.3051144089538984,high,8.76491911383146e-05,0.0018731703955096283,0.9980391804133522,high,retrain
eur_ecad_01::27430,WCE,MED,35_-5,0.159015091550426,high,7.54357162625432e-05,0.11459399438854666,0.8853305698951913,high,retrain
eur_ecad_01::27430,NEU,MED,35_-5,0.3094599545398413,high,5.3011038197547004e-05,0.001980369681954641,0.9979666192798479,high,retrain
