forecast_model,feature_set,cv_kind,estimator,n,n_features,mae,r2,run_tag,seed_index
regional_doy_climatology,physical_plus_shift,leave_target_region_out,ridge,52920,23,0.5478054955447285,0.2156092030181315,all_viable_min100_full_s3,3
regional_doy_climatology,physical_plus_shift,leave_target_region_out,random_forest,52920,23,0.7031098075853786,-0.3632739911458436,all_viable_min100_full_s3,3
regional_doy_climatology,physical_knowledge,group_by_cell,ridge,52920,12,0.6632864872829781,0.0399709703898781,all_viable_min100_full_s3,3
regional_doy_climatology,physical_knowledge,group_by_cell,random_forest,52920,12,0.6671547640661432,0.0317010661756828,all_viable_min100_full_s3,3
regional_doy_climatology,generic_shift,group_by_cell,ridge,52920,11,0.4463663912528818,0.4151343916378114,all_viable_min100_full_s3,3
regional_doy_climatology,generic_shift,group_by_cell,random_forest,52920,11,0.1072305315291149,0.9678616627093812,all_viable_min100_full_s3,3
regional_doy_climatology,physical_plus_shift,group_by_cell,ridge,52920,23,0.4014798391072799,0.5759799270811284,all_viable_min100_full_s3,3
regional_doy_climatology,physical_plus_shift,group_by_cell,random_forest,52920,23,0.1085279082314236,0.8783236597653469,all_viable_min100_full_s3,3
spatial_knn_ridge,physical_knowledge,leave_target_region_out,ridge,52920,12,0.0714406645270438,-0.1625502350345251,all_viable_min100_full_s3,3
spatial_knn_ridge,physical_knowledge,leave_target_region_out,random_forest,52920,12,0.0688815571298051,-0.0154240675231418,all_viable_min100_full_s3,3
spatial_knn_ridge,generic_shift,leave_target_region_out,ridge,52920,11,0.0722826765493228,-0.1468291494474933,all_viable_min100_full_s3,3
spatial_knn_ridge,generic_shift,leave_target_region_out,random_forest,52920,11,0.0927248797144485,-0.8867506388297886,all_viable_min100_full_s3,3
spatial_knn_ridge,physical_plus_shift,leave_target_region_out,ridge,52920,23,0.070951043203663,-0.2732660921151255,all_viable_min100_full_s3,3
spatial_knn_ridge,physical_plus_shift,leave_target_region_out,random_forest,52920,23,0.0880369762216347,-0.8293026533118333,all_viable_min100_full_s3,3
spatial_knn_ridge,physical_knowledge,group_by_cell,ridge,52920,12,0.065853693786345,0.0453282746974642,all_viable_min100_full_s3,3
spatial_knn_ridge,physical_knowledge,group_by_cell,random_forest,52920,12,0.0600773216673981,0.2953827066999127,all_viable_min100_full_s3,3
spatial_knn_ridge,generic_shift,group_by_cell,ridge,52920,11,0.0569697893296534,0.2145028561544082,all_viable_min100_full_s3,3
spatial_knn_ridge,generic_shift,group_by_cell,random_forest,52920,11,0.0291641921010043,0.6532732102162586,all_viable_min100_full_s3,3
spatial_knn_ridge,physical_plus_shift,group_by_cell,ridge,52920,23,0.0560509893861863,0.1682647352379999,all_viable_min100_full_s3,3
